Game,Date/Season,Winning team,Score,Losing team
XXXVII,"January 26, 2003 (2002)",Buccaneers,48–21,Raiders
XXXVIII,"February 1, 2004 (2003)",Patriots,32–29,Panthers
XXXIX,"February 6, 2005 (2004)",Patriots,24–21,Eagles
XL,"February 5, 2006 (2005)",Steelers,21–10,Seahawks
XLI,"February 4, 2007 (2006)",Colts,29–17,Bears
XLII,"February 3, 2008 (2007)",Giants,17–14,Patriots
XLIII,"February 1, 2009 (2008)",Steelers,27–23,Cardinals
XLIV,"February 7, 2010 (2009)",Saints,31–17,Colts
XLV,"February 6, 2011 (2010)",Packers,31–25,Steelers
XLVI,"February 5, 2012 (2011)",Giants,21–17,Patriots
XLVII,"February 3, 2013 (2012)",Ravens,34–31,49ers
XLVIII,"February 2, 2014 (2013)",Seahawks,43–8,Broncos
XLIX,"February 1, 2015 (2014)",Patriots,28–24,Seahawks
50,"February 7, 2016 (2015)",Broncos,24–10,Panthers
LI,"February 5, 2017 (2016)",Patriots,34–28 (OT),Falcons
LII,"February 4, 2018 (2017)",Eagles,41–33,Patriots
LIII,"February 3, 2019 (2018)",Patriots,13–3,Rams
LIV,"February 2, 2020 (2019)",Chiefs,31–20,49ers
LV,"February 7, 2021 (2020)",Buccaneers,31–9,Chiefs
LVI,"February 13, 2022 (2021)",Rams,23–20,Bengals
LVII,"February 12, 2023 (2022)",Chiefs,38–35,Eagles
